brief_citation	doi_url	year	datasets	type	tags	notes
"Juavinett and Magdaleno-Garcia. nwb4edu: an Online Textbook for Teaching and
Learning with NWB Datasets. Journal of Open Source Education"	https://doi.org/10.21105/jose.00309	2025	DANDI:000053,DANDI:000006	Journal Article	Education	
Guarino et al. Convergent information flows explain recurring firing patterns in cerebral cortex. Nature Neuroscience	https://doi.org/10.1038/s41593-025-02128-5	2025	Allen Brain Observatory Visual Coding (Optical Physiology)	Journal Article	Modeling,Tool Showcase,Confirmation	“To study cortical population events, we integrated multiple publicly available datasets—two-photon datasets from the MICrONS project (mouse primary visual cortex, VISp) and equivalent experiments from the Allen Brain Observatory, the Goard lab (mouse retrosplenial cortex, RSC), the Svoboda lab (mouse anterolateral secondary motor cortex, ALM) and Neuropixels datasets collected simultaneously from all the mentioned areas and more by the CortexLab.” Only Allen Brain Observatory data are in NWB. Other datasets are in various formats.
Wang et al. Brain-wide analysis reveals movement encoding structured across and within brain areas. Nature Neuroscience.	https://doi.org/10.1038/s41593-025-02114-x	2025	DANDI:000363	Journal Article	Same Lab,Secondary Analysis	This paper includes some of the same authors as the dataset, but the first and last authors are different, and the paper says “We analyzed a publicly available dataset”
Livezey et al. The geometry of correlated variability leads to highly suboptimal discriminative sensory coding. Journal of Neurophysiology.	https://doi.org/10.1152/jn.00313.2024	2025	https://doi.org/10.6080/K0VT1Q93	Journal Article	Same Lab,Secondary Analysis	NWB data was from https://crcns.org/data-sets/ac/ac-7/about-ac-5. Also used non-NWB data from https://crcns.org/data-sets/vc/pvc-11 and https://data.mendeley.com/datasets/ddsj9pjhf6/2
Zeisler et al. Consistent hierarchies of single-neuron timescales in mice, macaques and humans. Journal of Neuroscience.	https://doi.org/10.1523/JNEUROSCI.2155-24.2025	2025	DANDI:000004	Journal Article	Same Lab,Secondary Analysis,Aggregation	Also uses non-NWB datasets from https://osf.io/u3kcp/, https://osf.io/5rv8f/, https://doi.org/10.5281/zenodo.3947745, http://crcns.org/data-sets/hc/hc-12/about-hc-11, https://zenodo.org/records/8164440, and https://figshare.com/articles/dataset/Dataset_from_Steinmetz_et_al_2019/9598406
Lees et al. Standardized measurements for monitoring and comparing multiphoton microscope systems. Nature Protocols.	https://doi.org/10.1038/s41596-024-01120-w	2025	DANDI:000402	Protocol	Analysis Tool,Tool Showcase	
Masset et al. Multi-timescale reinforcement learning in the brain. Nature.	https://doi.org/10.1038/s41586-025-08929-9	2025	DANDI:000251	Journal Article	Same Lab,Secondary Analysis	
Adhinarta et al. WormID-Bench: A Benchmark for Whole-Brain Activity Extraction in C. elegans. biorXiv.	https://doi.org/10.1101/2025.01.06.631621	2025	DANDI:000541,DANDI:000714,DANDI:000692,DANDI:000715,DANDI:000776,DANDI:000565,DANDI:000472	Preprint	Aggregation,Algorithm Evaluation	Reused WormID corpus of NeuroPAL and calcium imaging datasets curated in Sprague et al., consisting of seven datasets from five different labs comprised of 118 total worms
Russo et al. Thalamic feedback shapes brain responses evoked by cortical stimulation in mice and humans. Nature Communications.	https://doi.org/10.1038/s41467-025-58717-2	2025	DANDI:000458	Journal Article	Same Lab	
Rupprecht et al. Spike inference from calcium imaging data acquired with GCaMP8 indicators. biorXiv.	https://doi.org/10.1101/2025.03.03.641129	2025	DANDI:000168	Preprint	Algorithm Evaluation	Also reused a dataset of theirs from Rupprecht, P. et al. A database and deep learning toolbox for noise-optimized, generalized spike inference from calcium imaging.
Clark et al. Symmetries and Continuous Attractors in Disordered Neural Circuits. biorXiv.	https://doi.org/10.1101/2025.01.26.634933	2025	DANDI:000939	Preprint	Modeling	
Olarinre et al. Relative timing and coupling of neural population bursts in large-scale recordings from multiple neuron populations. biorXiv.	https://doi.org/10.1101/2025.02.18.638950	2025	Allen Brain Observatory Visual Coding Neuropixels	Preprint	Analysis Tool,Framework	
