brief_citation	doi_url	year	datasets	type	tags	notes
Gonzalez-Ferrer et al. HIPPIE: A Multimodal Deep Learning Model for Electrophysiological Classification of Neurons. biorXiv.	https://doi.org/10.1101/2025.03.14.642461	2025	Allen Brain Observatory Visual Coding Neuropixels	Preprint	Modeling,Tool Showcase,Framework	
Roos et al. Modeling Organoid Population Electrophysiology Dynamics. biorXiv.	https://doi.org/10.1101/2025.03.02.641081	2025	DANDI:000041	Preprint	Modeling	
Windolf et al. DREDge: robust motion correction for high-density extracellular recordings across species. Nature Methods.	https://doi.org/10.1038/s41592-025-02614-5	2025	DANDI:000397,DANDI:000957	Journal Article	Processing Tool,Tool Showcase	"Also used non-NWB dataset at https://datadryad.org/dataset/doi:10.7272/Q6ST7N3B, IBL dataset not accessed as NWB, and https://figshare.com/articles/dataset/_Imposed_motion_datasets_from_Steinmetz_et_al_Science_2021/14024495/1. Also reused data from Trautmann et al., ""Large-scale brain-wide neural recording in nonhuman primates” and deposited it in DANDI:001282"
Nigrisoli et al. Statistical Characterization of Cortical-Thalamic Dynamics Evoked by Cortical Stimulation in Mice. biorXiv.	https://doi.org/10.1101/2025.04.04.647222	2025	DANDI:000458	Preprint	Secondary Analysis,Modeling,Framework	
Ryoo et al. Generalizable, real-time neural decoding with hybrid state-space models. arXiv.	https://doi.org/10.48550/arXiv.2506.05320	2025	DANDI:000688,DANDI:000128	Preprint	Modeling,Framework,Tool Showcase	Also used non-NWB O’Doherty et al. (2017) dataset https://doi.org/10.5281/zenodo.3854034, Churchland et al. (2012) dataset, Willett et al. (2021) dataset, and Willett et al. (2023) dataset. They used the NWB NLB dataset, but it is unclear which one - text suggests random target and maze. Awaiting code release.
Azabou et al. Multi-session, multi-task neural decoding from distinct cell-types and brain regions. ICLR 2025	https://openreview.net/forum?id=IuU0wcO0mo	2025	Allen Brain Observatory Visual Coding (Optical Physiology),DANDI:000037	Conference Paper	Modeling,Tool Showcase,Analysis Tool	Also used non-NWB dataset at https://zenodo.org/records/13993254
Sabatini & Kaufman. Reach-dependent reorientation of rotational dynamics in motor cortex. Nature Communications.	https://doi.org/10.1038/s41467-024-51308-7	2024	DANDI:000070	Journal Article	Secondary Analysis,Modeling,Same Lab	
Pham et al. Deep-prior ODEs augment fluorescence imaging with chemical sensors. Nature Communications.	https://doi.org/10.1038/s41467-024-53232-2	2024	DANDI:000168	Journal Article	Processing Tool	
Zheng et al. Perpetual step-like restructuring of hippocampal circuit dynamics. Cell Reports.	https://doi.org/10.1016/j.celrep.2024.114702	2024	DANDI:000552	Journal Article	Secondary Analysis,Same Lab	Also used a private dataset from https://www.nature.com/articles/s41586-018-0191-2
Hu & Quon. scPair: Boosting single cell multimodal analysis by leveraging implicit feature selection and single cell atlases. Nature Communications.	https://doi.org/10.1038/s41467-024-53971-2	2024	DANDI:000020	Journal Article	Framework,Analysis Tool	Also used non-NWB data from https://portal.brain-map.org/cell-types/classes/multimodal-characterization
Asiminas et al. Protocol to study oxygen dynamics in the in vivo mouse brain using bioluminescence microscopy. STAR Protocols.	https://doi.org/10.1016/j.xpro.2024.103334	2024	DANDI:000891	Protocol	Same Lab	
Harris et al. Tracking the Distance to Criticality in Systems with Unknown Noise. Physical Review X.	https://doi.org/10.1103/PhysRevX.14.031021	2024	DANDI:000713	Journal Article	Secondary Analysis	
Cambrainha et al. Criticality at work: scaling in the mouse cortex enhances performance. arXiv.	https://doi.org/10.48550/arXiv.2410.23508	2024	DANDI:000713	Preprint	Secondary Analysis	
Kapoor et al. Latent Diffusion for Neural Spiking Data. NeurIPS 2024.	https://proceedings.neurips.cc/paper_files/paper/2024/file/d60b6b7f0ba6bf07d975b3bbdacea702-Paper-Conference.pdf	2024	DANDI:000128	Conference Paper	Modeling,Analysis Tool	Also used data from https://datadryad.org/dataset/doi:10.5061/dryad.x69p8czpq
Chen et al. Neural Embeddings Rank: Aligning 3D latent dynamics with movements. NeurIPS 2024.	https://proceedings.neurips.cc/paper_files/paper/2024/file/ffe78e2b3c80439e6dfd3f7f38cfa888-Paper-Conference.pdf	2024	DANDI:000128	Conference Paper	Modeling,Analysis Tool	Also used non-NWB data from https://datadryad.org/dataset/doi:10.5061/dryad.xd2547dkt
Salimi et al. Gamma frequency connectivity in frontostriatal networks associated with social preference is reduced with traumatic brain injury. Network Neuroscience.	https://doi.org/10.1162/netn_a_00416	2024	DANDI:001039	Journal Article	Same Lab,Secondary Analysis	Dandiset is empty but should hold LFP data from Koloski et al., 2024
Vetter et al. Generating realistic neurophysiological time series with denoising diffusion probabilistic models. Patterns.	https://doi.org/10.1016/j.patter.2024.101047	2024	DANDI:000055	Journal Article	Tool Showcase,Modeling	Also used non-NWB data from CRCNS, NeuroTycho, and BCI Challenge @ NER 2015
Stringer et al. Rastermap: a discovery method for neural population recordings. Nature Neuroscience.	https://doi.org/10.1038/s41593-024-01783-4	2024	DANDI:000130	Journal Article	Tool Showcase,Visualization Tool	Also used non-NWB data from CRCNS, Janelia Figshare, CSHL data repository, and Figshare
Hart et al. Pheromone representation in the ant antennal lobe changes with age. Current Biology.	http://dx.doi.org/10.1016/j.cub.2024.05.031	2024	DANDI:000467	Journal Article	Secondary Analysis,Same Lab	
Tolossa et al. A conserved code for anatomy: Neurons throughout the brain embed robust signatures of their anatomical location into spike trains. bioRxiv.	https://doi.org/10.1101/2024.07.11.603152	2024	Allen Brain Observatory Visual Coding Neuropixels	Preprint	Secondary Analysis	Used NWB 2 data from the Allen Institute: Brain Observatory (DANDI:000021) and  Functional Connectivity (DANDI:000022)
Bahl et al. Using deep learning to quantify neuronal activation from single-cell and spatial transcriptomic data. Nature Communications.	http://dx.doi.org/10.1038/s41467-023-44503-5	2024	DANDI:000020	Journal Article	Secondary Analysis,Modeling	
Furumichi et al. A deep generative model integrating single-cell time-frequency characteristics transformed from electrophysiological data with transcriptomic features⁠. bioRxiv.	http://dx.doi.org/10.1101/2024.03.29.587341	2024	DANDI:000008	Preprint	Secondary Analysis,Modeling	
Mehrotra et al. Hyperpolarization-activated currents drive neuronal activation sequences in sleep. Current Biology.	http://dx.doi.org/10.1016/j.cub.2024.05.048	2024	DANDI:000939	Journal Article	Secondary Analysis,Same Lab	Also used non-NWB data from CRCNS
Pachitariu et al. Spike sorting with Kilosort4. Nature Methods.	http://dx.doi.org/10.1038/s41592-024-02232-7	2024	DANDI:000028,DANDI:000231,DANDI:000410	Journal Article	Processing Tool,Tool Showcase	Also used non-NWB data from UCL and IBL
Ma et al. ElecFeX is a user-friendly toolbox for efficient feature extraction from single-cell electrophysiological recordings. Cell Reports Methods.	http://dx.doi.org/10.1016/j.crmeth.2024.100791	2024	DANDI:000020	Journal Article	Processing Tool,Tool Showcase	
Lee et al. Spyglass: a framework for reproducible and shareable neuroscience research. bioRxiv.	http://dx.doi.org/10.1101/2024.01.25.577295	2024	DANDI:000059	Preprint	Processing Tool,Data Management Tool,Tool Showcase	
Taeckens and Shah. A spiking neural network with continuous local learning for robust online brain machine interface. Journal of Neural Engineering.	http://dx.doi.org/10.1088/1741-2552/ad1787	2024	DANDI:000140	Journal Article	Algorithm Evaluation	Also used non-NWB data from CRCNS
Mendoza-Halliday et al. A ubiquitous spectrolaminar motif of local field potential power across the primate cortex. Nature Neuroscience.	http://dx.doi.org/10.1038/s41593-023-01554-7	2024	Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Aggregation,Secondary Analysis	See page for details.
Lee et al. PhysMAP - interpretable in vivo neuronal cell type identification using multi-modal analysis of electrophysiological data. bioRxiv.	http://dx.doi.org/10.1101/2024.02.28.582461	2024	https://doi.org/10.25378/janelia.8869115	Preprint	Processing Tool,Tool Showcase,Framework	NWB dataset at Janelia Figshare: https://doi.org/10.25378/janelia.8869115. See page for details.
"Magland et al. Neurosift: DANDI exploration and NWB visualization
in the browser. Journal of Open Source Software."	http://dx.doi.org/10.21105/joss.06590	2024	DANDI:000409	Journal Article	Visualization,Visualization Tool	Used in figures to demonstrate expected results. No specific dataset cited.
Zhong et al. Hierarchical Working Memory and a New Magic Number. biorXiv.	https://doi.org/10.1101/2024.08.14.607952	2024	DANDI:000207	Preprint	Secondary Analysis,Modeling	
Kendrick et al. Transcriptomically-measured gene expression predicts physiological variation across single neurons in humans and mice. biorXiv.	https://doi.org/10.1101/2024.08.26.609746	2024	DANDI:000020,DANDI:000023	Preprint	Secondary Analysis,Modeling	Also used non-NWB data from https://portal.brain-map.org/celltypes/classes/multimodal-characterization and https://data.nemoarchive.org/other/AIBS/AIBS_patchseq/transcriptome/scell/SMARTseq/processed/analysis/20200611/
Tang et al. Stimulus type shapes the topology of cellular functional networks in mouse visual cortex. Nature Communications.	https://doi.org/10.1038/s41467-024-49704-0	2024	Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Secondary Analysis	
Azabou et al. A unified, scalable framework for neural population decoding. arXiv. NeurIPS 2023.	http://dx.doi.org/10.48550/arXiv.2310.16046	2023	DANDI:000688,DANDI:000070,DANDI:000128,DANDI:000129	Conference Paper	Modeling,Framework,Aggregation	"https://poyo-brain.github.io/
Also used non-NWB data from Zenodo and CRCNS. Conference paper is available at: https://openreview.net/forum?id=sw2Y0sirtM"
Wei et al. Associations between in vitro, in vivo and in silico cell classes in mouse primary visual cortex. Nature Communications.	http://dx.doi.org/10.1038/s41467-023-37844-8	2023	DANDI:000021	Journal Article	Secondary Analysis,Same Lab	
Viejo et al. Pynapple, a toolbox for data analysis in neuroscience. eLife.	http://dx.doi.org/10.7554/eLife.85786	2023	DANDI:000021,DANDI:000207	Journal Article	Analysis Tool,Tool Showcase	Also used non-NWB data from CRCNS, Figshare, MICrONS
Chartrand et al. Morphoelectric and transcriptomic divergence of the layer 1 interneuron repertoire in human versus mouse neocortex. Science.	http://dx.doi.org/10.1126/science.adf0805	2023	DANDI:000020	Journal Article	Secondary Analysis,Same Lab	Also used non-NWB data from BIL and NeMO
Perkins et al. Simple decoding of behavior from a complicated neural manifold. eLife.	http://dx.doi.org/10.7554/eLife.89421.1	2023	DANDI:000127,DANDI:000130,DANDI:000128,DANDI:000138,DANDI:000139,DANDI:000140,DANDI:000129	Journal Article	Tool Showcase,Analysis Tool	
Patel et al. High-performance neural population dynamics modeling enabled by scalable computational infrastructure. Journal of Open Source Software.	http://dx.doi.org/10.21105/joss.05023	2023	DANDI:000128	Journal Article	Compute Infrastructure,Tool Showcase	Related to ‣
Cai et al. FIOLA: an accelerated pipeline for fluorescence imaging online analysis. Nature Methods.	http://dx.doi.org/10.1038/s41592-023-01964-2	2023	DANDI:000054	Journal Article	Framework,Analysis Tool,Tool Showcase	Also used non-NWB data from Figshare and Zenodo.
Bernaerts et al. Combined statistical-mechanistic modeling links ion channel genes to physiology of cortical neuron types. bioRxiv.	http://dx.doi.org/10.1101/2023.03.02.530774	2023	DANDI:000008	Preprint	Modeling,Secondary Analysis	Also used non-NWB data from GitHub.
Easthope et al. Cortical control of posture in fine motor skills: evidence from inter-utterance rest position. Frontiers in Human Neuroscience. Frontiers in Human Neuroscience.	http://dx.doi.org/10.3389/fnhum.2023.1139569	2023	https://doi.org/10.6084/m9.figshare.c.4617263.v4	Journal Article	Secondary Analysis	Used NWB 2 data published on Figshare. Data also available at DANDI:000019.
Schneider et al. Learnable latent embeddings for joint behavioural and neural analysis. Nature.	http://dx.doi.org/10.1038/s41586-023-06031-6	2023	DANDI:000127,Allen Brain Observatory Visual Coding (Optical Physiology),Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Framework,Analysis Tool,Modeling,Tool Showcase	Used NWB 2 data from the Allen Institute, also available at DANDI:000728 and DANDI:000021. Also used non-NWB data from CRCNS.
Nguyen et al. Fast Temporal Wavelet Graph Neural Networks. Temporal Graph Learning Workshop @ NeurIPS 2023.	https://doi.org/10.48550/arXiv.2302.08643	2023	DANDI:000055	Conference Paper	Analysis Tool,Tool Showcase	Cited dataset paper for AJILE12 dataset. DOI URL is for ArXiv paper. Conference workshop paper is available at https://openreview.net/forum?id=hh3salTr27
Arbabi et al. Investigating microglia-neuron crosstalk by characterizing microglial contamination in human and mouse patch-seq datasets. iScience.	http://dx.doi.org/10.1016/j.isci.2023.107329	2023	DANDI:000209,DANDI:000020	Journal Article	Secondary Analysis	Also used non-NWB sequence data from Allen Institute for Brain Science Cell Types Database.
Lowet et al. Theta and gamma rhythmic coding through two spike output modes in the hippocampus during spatial navigation. Cell Reports.	http://dx.doi.org/10.1016/j.celrep.2023.112906	2023	Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Confirmation,Secondary Analysis	
Purandare and Mehta. Mega-scale movie-fields in the mouse visuo-hippocampal network. eLife.	http://dx.doi.org/10.7554/eLife.85069	2023	Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Secondary Analysis	Used data from 24 mice from the “Functional connectivity” dataset
Burman et al. Active cortical networks promote shunting fast synaptic inhibition in vivo. Neuron.	http://dx.doi.org/10.1016/j.neuron.2023.08.005	2023	DANDI:000458	Journal Article	Secondary Analysis	
Rimehaug et al. Uncovering circuit mechanisms of current sinks and sources with biophysical simulations of primary visual cortex. eLife.	http://dx.doi.org/10.7554/eLife.87169	2023	DANDI:000021,Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Secondary Analysis,Same Lab	Unclear from which source (DANDI or AllenSDK) the data were accessed.
Eom et al. Statistically unbiased prediction enables accurate denoising of voltage imaging data. Nature Methods.	http://dx.doi.org/10.1038/s41592-023-02005-8	2023	DANDI:000168	Journal Article	Processing Tool,Tool Showcase	Also used non-NWB data from Zenodo.
Johansen et al. Projecting RNA measurements onto single cell atlases to extract cell type-specific expression profiles using scProjection. Nature Communications.	http://dx.doi.org/10.1038/s41467-023-40744-6	2023	DANDI:000020,DANDI:000023	Journal Article	Processing Tool,Tool Showcase	Also used non-NWB data from GitHub, Allen Institute, Dryad, and NCBI GEO.
Keshtkaran et al. A large-scale neural network training framework for generalized estimation of single-trial population dynamics. Nature Methods.	http://dx.doi.org/10.1038/s41592-022-01675-0	2022	DANDI:000070	Journal Article	Framework,Analysis Tool,Modeling,Tool Showcase	Also used non-NWB data from Zenodo and non-NWB data that is highly similar to Neural Latents Benchmark data published on DANDI.
Talukder et al. Deep Neural Imputation: A Framework for Recovering Incomplete Brain Recordings. NeurIPS 2022 Workshop on Learning from Time Series for Health.	https://doi.org/10.48550/arXiv.2206.08094	2022	DANDI:000055	Conference Paper	Framework,Processing Tool,Tool Showcase	Cited dataset paper for AJILE12 dataset. DOI URL is for ArXiv paper. Conference workshop paper is available at https://openreview.net/pdf?id=c9qFg8UrIcn
Durand et al. Acute head-fixed recordings in awake mice with multiple Neuropixels probes. Nature Protocols.	http://dx.doi.org/10.1038/s41596-022-00768-6	2022	DANDI:000021	Protocol	Visualization,Same Lab	Used in a figure to demonstrate expected results. Unclear from which source (DANDI or AllenSDK) the data were accessed.
Petersen et al. CellExplorer: A framework for visualizing and characterizing single neurons. Neuron.	http://dx.doi.org/10.1016/j.neuron.2021.09.002	2021	Allen Brain Observatory Visual Coding Neuropixels	Journal Article	Processing Tool,Tool Showcase	See page for details.
Gala et al. Consistent cross-modal identification of cortical neurons with coupled autoencoders. Computational Science.	http://dx.doi.org/10.1038/s43588-021-00030-1	2021	DANDI:000020	Journal Article	Processing Tool,Same Lab	Also used non-NWB data from NeMO, Zenodo, and GitHub
"Ye and Pandarinath. Representation learning for neural population
activity with Neural Data Transformers. Neurons, Behavior, Data Analysis, and Theory."	http://dx.doi.org/10.51628/001c.27358	2021	DANDI:000070	Journal Article	Modeling,Tool Showcase	
